primary_pattern,question_count
Backward Pointer Scan,2
Binary Lifting (Sparse Table),2
Closure,2
Gaps and Islands (Row Number Difference),2
Hierholzer's Algorithm (Eulerian Path),2
LCA (Lowest Common Ancestor),2
Single-Pass Flagging,2
Single-Pass Linear Scan,2
Two Min-Heaps (Priority Queues),2
2D-to-1D Reduction,1
8-Directional Raycasting from Move,1
"Accumulating Closure Scopes (Each timeout creates a new closure, potentially keeping old variables in memory longer)",1
Amortized Linear Scan / Precomputation,1
Angular Sweep / Fixed Circle Centers,1
Arithmetic Computation,1
Array Grouping by Set Bits,1
Array Indexing (Direct Access),1
Array Length Property (`this.length`),1
Array modification tracking (snapshotting the entire array state at each simulated step),1
Backwards Traversal (Target to Start),1
Base 3 Representation (Ternary Logic),1
Bi-directional Linear Scan with Last-Seen Map. O(N,1
Binary Exponentiation,1
Binary Exponentiation (Fast Power),1
Binary Offset Mapping,1
Blocking Main Thread (Visualizing the CPU stuck in a loop waiting for the async task),1
Boolean Array,1
Boolean Indexing: df[df['id'] == 101],1
Boundary Contraction,1
Boundary Shrinking,1
Brainteaser / Logical Deduction,1
Brute Force (Small Constraints),1
Brute Force / Constraint Optimization,1
Brute Force Path Memory (Storing every conceivable route configuration simultaneously),1
Brute Force with Early Exit (Small Constraints),1
Buffer Scan (Visualizing the database engine reading the text column repeatedly for each word),1
Buffered Chunk Processing with Bound Checking,1
COUNT(DISTINCT customer_id),1
Chained Operations: df.loc[...].sort_values(...)[['name']],1
"Chebyshev Distance (Max of ΔX, ΔY)",1
Closure / Higher-Order Function,1
Column-Wise Linear Scan,1
Column-Wise Max Pre-calculation,1
"Combinatorial Construction. Generate palindromes directly by mirroring the ""first half"" of the binary bits",1
Combinatorial Row Storage (Visualizing all row combinations in memory),1
Compare Current vs Next,1
Concurrency: 3 Semaphores,1
Concurrency: Mutexes / Semaphores / Promises,1
Concurrency: Two Alternating Semaphores,1
Condition Variables / Semaphores,1
Contribution of Each Character (Index tracking),1
Convex Hull,1
Coordinate Mapping (Direct Indexing),1
Coordinate Mapping (Precomputation),1
Coordinate Min-Max Comparison,1
Coordinate Rotation (Chebyshev Transformation),1
Corner Count Set,1
"Cross Product (Orientation) For every three consecutive points, calculate the cross product. All cross products must have the same sign (all positive or all negative)",1
Custom Comparator / Partitioning,1
Cycle Decomposition (Permutation Theory),1
Date Filtering,1
Days Since Epoch (1971) Calculation,1
Direct Comparison / O(1) Access,1
Direct Index Mapping (One-Pass),1
Direct Indexing Compare `words[i].charAt(j)` with `words[j].charAt(i)` with boundary checks,1
Direct Integer Accumulation,1
Direct Linear Scan with Set Lookup,1
Direct Mapping,1
Direct SQL WHERE Clause,1
Divisor Iteration,1
Double In-place Reversal (Reverse Whole,1
Double Logarithmic Loop (Logarithmic Bounds),1
Double Loop with Square Root Check,1
Dual-Map Bijection or Pattern Normalization,1
Dynamic Prefix Maximum & Max-Difference Tracking,1
Dynamic SQL / Information Schema,1
Early Exit Iterator,1
Early-Exit Linear Comparison,1
Edge-Centric,1
Enumeration by Zero-Count (O(N√N)),1
Execution Context Overhead (Visualizing the engine creating and destroying complex scopes for every iteration),1
Exhaustive Heatmap Search (Brute Force),1
Exponential State Memory (Visualizing the storage of all valid subarray combinations),1
Exponential State Search (Visualizing all possible combinations of powers being summed),1
Fast Fourier Transform (FFT) or Karatsuba,1
Fast and Slow Pointers,1
Filtered Select with Null Handling,1
"Find Dip, Swap, Reverse",1
"Finding Bound Indices (Last 1, First 3)",1
