custom_label,question_count,problem_ids,problem_titles,raw_pattern_examples
Backward Pointer Scan,2,"58, 3856",Length of Last Word | Trim Trailing Vowels (Easy),Backward Pointer Scan
Binary Lifting (Sparse Table),2,"1483, 2836",Kth Ancestor of a Tree Node | Maximize Value of Function in a Ball Passing Game,Binary Lifting (Sparse Table)
Closure,2,"2627, 2676",Debounce (JS) | Throttle,Closure + clearTimeout / setTimeout | Closure + setTimeout + Stored Arguments
Gaps and Islands (Row Number Difference),2,"1225, 1285",Report Contiguous Dates (SQL) | Find the Start and End Number of Continuous Ranges (SQL),Gaps and Islands (Row Number Difference)
Hierholzer's Algorithm (Eulerian Path),2,"753, 2097",Cracking the Safe | Valid Arrangement of Pairs,Hierholzer's Algorithm (Eulerian Path)
LCA (Lowest Common Ancestor),2,"2096, 2846",Step-By-Step Directions From a Binary Tree Node to Another | Minimum Edge Weight Equilibrium Queries in a Tree,LCA (Lowest Common Ancestor) + Path Comparison | LCA (Lowest Common Ancestor) + Binary Lifting + Prefix Frequencies
Single-Pass Flagging,2,"2299, 3136",Strong Password Checker II | Valid Word,Single-Pass Flagging
Single-Pass Linear Scan,2,"3285, 3386",Find Indices of Stable Mountains | Button with Longest Push Time,Single-Pass Linear Scan
Two Min-Heaps (Priority Queues),2,"1942, 2462",The Number of the Smallest Unoccupied Chair | Total Cost to Hire K Workers,Two Min-Heaps (Priority Queues)
2D-to-1D Reduction,1,1074,Number of Submatrices That Sum to Target,2D-to-1D Reduction + Subarray Sum Logic
8-Directional Raycasting from Move,1,1958,Check if Move is Legal,8-Directional Raycasting from Move
"Accumulating Closure Scopes (Each timeout creates a new closure, potentially keeping old variables in memory longer)",1,2725,Interval Cancellation (JS),"Accumulating Closure Scopes (Each timeout creates a new closure, potentially keeping old variables in memory longer)"
Amortized Linear Scan / Precomputation,1,3255,Find the Power of K-Size Subarrays II,Amortized Linear Scan / Precomputation
Angular Sweep / Fixed Circle Centers,1,1453,Maximum Number of Darts Inside of a Circular Dartboard,Angular Sweep / Fixed Circle Centers
Arithmetic Computation,1,2469,Convert the Temperature,Arithmetic Computation
Array Grouping by Set Bits,1,3011,Find if Array Can Be Sorted,Array Grouping by Set Bits + Min/Max Tracking
Array Indexing (Direct Access),1,1603,Design Parking System,Array Indexing (Direct Access)
Array Length Property (`this.length`),1,2619,Array Prototype Last (JS),Array Length Property (`this.length`)
Array modification tracking (snapshotting the entire array state at each simulated step),1,2702,Minimum Operations to Make Numbers Non-positive,Array modification tracking (snapshotting the entire array state at each simulated step)
Backwards Traversal (Target to Start),1,3724,Minimum Operations to Transform Array (Med),Backwards Traversal (Target to Start)
Base 3 Representation (Ternary Logic),1,1780,Check if Number is a Sum of Powers of Three,Base 3 Representation (Ternary Logic)
