ID,Problem Title,Optimised Pattern,How to Draw (Opt),Anatomy Bucket
1,Two Sum,Hash Map (One Pass),"Draw the array on the left and a 2-column table (Key=Num, Value=Index) on the right. Draw a line from the current array element to the table looking for its complement.",Lookup-table / bucket canvas
2,Add Two Numbers,Digit-by-Digit Math w/ Carry,"Draw L1 on top, L2 below it. Draw vertical boxes circling the nodes at index 'i'. Write a ""+ Carry"" bubble at the top of the next column.",Node-link canvas (tree/list/trie)
3,Longest Substring Without Repeating Characters,Sliding Window (Hash Set),Draw the string. Draw a bracket `[` for the left pointer and `]` for the right. Erase and redraw `]` moving right. Erase and redraw `[` moving right when a collision occurs.,Node-link canvas (tree/list/trie)
4,Median of Two Sorted Arrays,Binary Search on Partitions,Draw Array A on top of Array B. Draw a red vertical partition line through both. Write the boundary conditions (L1 <= R2 and L2 <= R1) explicitly next to the line.,Strip / timeline / pointer canvas
5,Longest Palindromic Substring,Expand Around Center,"Draw the string. Place an ""X"" on one character. Draw outward-facing arrows `<--` and `-->` originating from the ""X"" moving step-by-step.",Node-link canvas (tree/list/trie)
6,Zigzag Conversion,Math / Index Hopping,"Write the string out linearly. Draw long arcs jumping over characters for the top row. Draw secondary, shorter alternating arcs for the middle rows.",Strip / timeline / pointer canvas
7,Reverse Integer,Digit Extraction (Pop & Push),"Draw two boxes: `X` and `Rev`. Draw a loop where the rightmost digit of `X` falls off, slides over, and attaches to the right side of `Rev`.",Formula / invariant canvas
8,String to Integer (atoi),Deterministic One-Pass (DFA),Draw a timeline. Place a pointer moving left to right. Draw bubbles above it representing the current state transitioning: [Start] -> [Sign] -> [Digit Accumulation] -> [Done].,Graph / state-network canvas
9,Palindrome Number,Revert Half the Number,Draw a large number. Draw a scissor line in the middle. Show the right half flipping over and comparing itself to the left half.,Strip / timeline / pointer canvas
10,Regular Expression Matching,Dynamic Programming (2D Table),"Draw a grid. String `s` on the left (Y axis), pattern `p` on top (X axis). Draw arrows showing that the current cell's True/False value is pulled from the cell above, left, or top-left.",Grid / board canvas
11,Container With Most Water,Two Pointers (Greedy Squeeze),Draw the array. Place an 'L' arrow at index 0 and 'R' at N-1. Draw a water block between them. Cross out the shorter line and draw its arrow stepping inward.,Coordinate-plane canvas
12,Integer to Roman,Greedy Subtraction (Coin Change),"Draw two parallel lists: Values [1000, 900, 500...] and Symbols [M, CM, D...]. Point at the largest value <= num. Subtract value, append symbol.",Coordinate-plane canvas
13,Roman to Integer,Compare Current vs Next,"Write ""MCMXCIV"". Write the integer values below each letter. Draw an arrow from C(100) to M(1000). Since 100 < 1000, write a minus sign.",Strip / timeline / pointer canvas
14,Longest Common Prefix,Horizontal Shrinking,Draw a `prefix` box initially holding String[0]. Draw scissors chopping off the rightmost letter of the `prefix` box until `String[i].startsWith(prefix)` is true.,Strip / timeline / pointer canvas
15,3Sum,Sort + Anchor & Squeeze,"Draw a sorted array. Stick a thumbtack on 'i'. Bracket the rest of the array. Put 'L' at the start of the bracket, 'R' at the end. Move L/R based on the sum.",Strip / timeline / pointer canvas
16,3Sum Closest,Sort + Anchor & Squeeze,Draw a sorted array. Pin 'i'. Place L and R. Write the `target`. Draw arrows pulling L or R inward trying to get the sum magnetically closer to the target value.,Strip / timeline / pointer canvas
17,Letter Combinations of a Phone Number,Backtracking (DFS),"Draw a root node. Branch out to 'a', 'b', 'c'. From 'a', branch to 'd', 'e', 'f'. Trace a line down to ""ad"", then back up to 'a', then down to ""ae"".",Strip / timeline / pointer canvas
18,4Sum,Sort + Two Anchors + Squeeze,"Draw a sorted array. Stick a red thumbtack on 'i' and a blue one on 'j'. Bracket the rest. Put L at j+1, R at the end. Move L/R to hit the target.",Strip / timeline / pointer canvas
19,Remove Nth Node From End of List,Fast & Slow Pointers (One Pass),Draw a linked list. Place 'Fast' 2 nodes ahead of 'Slow'. Draw a rigid stick connecting them. Slide both right until 'Fast' falls off the end. 'Slow' bypasses the next node.,Node-link canvas (tree/list/trie)
20,Valid Parentheses,Stack (LIFO),"Draw a vertical bucket. Push `(`, `[`, `{` down into it. When `}` arrives, check the top of the bucket. Since it's `{`, cross them both out.",Container canvas (stack/queue/heap)
21,Merge Two Sorted Lists,Two Pointers + Dummy Node,Draw List 1 and List 2. Draw a star (Dummy) with an arrow `current`. Point `current` to the smaller of P1/P2. Cross out the old pointer and move it forward.,Node-link canvas (tree/list/trie)
22,Generate Parentheses,Backtracking (Constrained DFS),Draw a root node. Branch left for '(' and right for ')'. Put a lock icon on the right branch if `open == close` (meaning you can't add a closing bracket yet).,Strip / timeline / pointer canvas
23,Merge k Sorted Lists,Min-Heap (Priority Queue),Draw a funnel (Heap) holding K items. Drop the smallest item out the bottom. Immediately replace it with the next item from the list it came from.,Container canvas (stack/queue/heap)
24,Swap Nodes in Pairs,Pointer Manipulation + Dummy Node,"Draw `prev -> A -> B -> next`. Draw curved arrows overriding the straight ones: `prev` arcs to `B`, `B` arcs backward to `A`, `A` arcs to `next`.",Node-link canvas (tree/list/trie)
25,Reverse Nodes in k-Group,In-Place Pointer Reversal,Draw a list. Put a bracket around K nodes. Reverse the arrows inside the bracket. Draw the `prevGroupTail` pointing to the new head of this bracket.,Node-link canvas (tree/list/trie)
26,Remove Duplicates from Sorted Array,Two Pointers (Reader/Writer),"Draw an array. Place `S` (Slow) and `F` (Fast) at index 1. Slide `F` right until `arr[F] != arr[F-1]`. Draw a curved arrow from `F` overwriting the value at `S`, then step `S` forward.",Coordinate-plane canvas
27,Remove Element,Two Pointers (In-Place Write),"Draw the array. Put `S` and `F` at index 0. If `arr[F] == val`, move `F` right. If `arr[F] != val`, draw an arrow copying `arr[F]` to `arr[S]`, then move both right.",Coordinate-plane canvas
28,Find the Index of the First Occurrence in a String,KMP Algorithm (LPS Array),"Draw the haystack and needle. When a mismatch hits at index `j`, look up `LPS[j-1]`. Draw a long sweeping arrow shifting the needle forward, bypassing already matched prefixes.",Container canvas (stack/queue/heap)
