ID,Problem Title,data_shape,primary_engine,variation,composite_helper,canonical_link,opt_time_budget,opt_space_budget,draw_anatomy_bucket
1,Two Sum,Array / Sequence,Hash Map,Complement lookup,None,Canonical: Two Sum,O(N),O(N),Lookup-table / bucket canvas
2,Add Two Numbers,Number / Bit / Math,Math / Number Theory,Digit arithmetic / carry,None,Canonical: Add Two Numbers / Reverse Integer,"O(max(M,N)","O(max(M,N)",Node-link canvas (tree/list/trie)
3,Longest Substring Without Repeating Characters,Tree / Trie,Sliding Window,Variable-size + frequency/uniqueness control,+ Hash Set,Canonical: Longest Substring Without Repeating Characters,O(N),O(1),Node-link canvas (tree/list/trie)
4,Median of Two Sorted Arrays,Number / Bit / Math,Binary Search,Exact / partition binary search,None,Canonical: Binary Search / median partition,"O(log(min(M,N)",O(1),Strip / timeline / pointer canvas
5,Longest Palindromic Substring,Tree / Trie,Two Pointers,Center expansion,None,Canonical: Longest Palindromic Substring,O(N²),O(1),Node-link canvas (tree/list/trie)
6,Zigzag Conversion,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(N),O(N),Strip / timeline / pointer canvas
7,Reverse Integer,Number / Bit / Math,Math / Number Theory,Digit arithmetic / carry,None,Canonical: Add Two Numbers / Reverse Integer,O(log10(x),O(1),Formula / invariant canvas
8,String to Integer (atoi),String / Text,Simulation / Scan / Precompute,Deterministic state machine,None,Canonical: DFA / parser-style scan,O(N),O(1),Graph / state-network canvas
9,Palindrome Number,String / Text,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(log10(n),O(1),Strip / timeline / pointer canvas
10,Regular Expression Matching,Matrix / Grid,Dynamic Programming,2D DP,None,Canonical: Edit Distance / Grid DP,O(M · N),O(M * N),Grid / board canvas
11,Container With Most Water,Intervals / Geometry / Coordinates,Two Pointers,Boundary / pointer sweep,+ Greedy Check,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Coordinate-plane canvas
12,Integer to Roman,String / Text,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(1),O(1),Coordinate-plane canvas
13,Roman to Integer,String / Text,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),O(1),Strip / timeline / pointer canvas
14,Longest Common Prefix,String / Text,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(S),O(1),Strip / timeline / pointer canvas
15,3Sum,Array / Sequence,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,O(N log N),O(1),Strip / timeline / pointer canvas
16,3Sum Closest,Array / Sequence,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,O(N),O(1),Strip / timeline / pointer canvas
17,Letter Combinations of a Phone Number,Number / Bit / Math,DFS,Depth-first traversal,None,Canonical: Depth-first component exploration,O(4^N · N),O(N),Strip / timeline / pointer canvas
18,4Sum,Array / Sequence,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,O(N²),O(1),Strip / timeline / pointer canvas
19,Remove Nth Node From End of List,Linked List,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(L),O(1),Node-link canvas (tree/list/trie)
20,Valid Parentheses,Array / Sequence,Stack,LIFO state maintenance,None,Canonical: Valid Parentheses,O(N),O(N),Container canvas (stack/queue/heap)
21,Merge Two Sorted Lists,Linked List,Linked List,Dummy-node merge / splice,None,Canonical: Merge Two Sorted Lists,O(M + N),O(1),Node-link canvas (tree/list/trie)
22,Generate Parentheses,Array / Sequence,DFS,Depth-first traversal,None,Canonical: Depth-first component exploration,O(4^N / sqrt(N),O(N),Strip / timeline / pointer canvas
23,Merge k Sorted Lists,Number / Bit / Math,Heap,Top-K / best-first selection,None,Canonical: Top K Frequent Elements / merge-k,O(log K),O(K),Container canvas (stack/queue/heap)
24,Swap Nodes in Pairs,Linked List,Linked List,Dummy-node merge / splice,None,Canonical: Merge Two Sorted Lists,O(N),O(1),Node-link canvas (tree/list/trie)
25,Reverse Nodes in k-Group,Linked List,Linked List,Pointer manipulation on list nodes,None,Canonical: Pointer rewiring on linked list,O(N),O(1),Node-link canvas (tree/list/trie)
26,Remove Duplicates from Sorted Array,Number / Bit / Math,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Coordinate-plane canvas
27,Remove Element,Array / Sequence,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Coordinate-plane canvas
28,Find the Index of the First Occurrence in a String,String / Text,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(M),O(M),Container canvas (stack/queue/heap)
29,Divide Two Integers,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Bitmask + Tree + Segment/Fenwick,Canonical: Exact custom named technique,O(log(Dividend),O(1),Strip / timeline / pointer canvas
30,Substring with Concatenation of All Words,Tree / Trie,Sliding Window,Variable-size + frequency/uniqueness control,+ Hash Map,Canonical: Longest Substring Without Repeating Characters,O(N),O(W),Node-link canvas (tree/list/trie)
31,Next Permutation,Array / Sequence,Two Pointers,Next-permutation pointer choreography,None,Canonical: Next Permutation,O(N),O(1),Graph / state-network canvas
32,Longest Valid Parentheses,Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Counting,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Lookup-table / bucket canvas
33,Search in Rotated Sorted Array,Number / Bit / Math,Binary Search,Exact / partition binary search,None,Canonical: Binary Search / median partition,O(log N),O(1),Graph / state-network canvas
34,Find First and Last Position of Element in Sorted Array,Number / Bit / Math,Binary Search,Exact / partition binary search,None,Canonical: Binary Search / median partition,O(log N),O(1),Strip / timeline / pointer canvas
35,Search Insert Position,Array / Sequence,Binary Search,Exact / partition binary search,None,Canonical: Binary Search / median partition,O(log N),O(1),Coordinate-plane canvas
36,Valid Sudoku,Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Hash Set,Canonical: Grid traversal / DP scan,O(1),O(1),Grid / board canvas
37,Sudoku Solver,Matrix / Grid,DFS,Flood-fill / component DFS,None,Canonical: Number of Islands,O(9^M),O(1),Grid / board canvas
38,Count and Say,Number / Bit / Math,Two Pointers,Boundary / pointer sweep,+ String Parsing,Canonical: Two Sum II / Container With Most Water,O(2^N),O(L),Coordinate-plane canvas
39,Combination Sum,Array / Sequence,Backtracking,Choice tree with undo,None,Canonical: Combination Sum,O(2^target),O(Target / Min Element),Strip / timeline / pointer canvas
40,Combination Sum II,Array / Sequence,Backtracking,Choice tree with undo,+ Sorting,Canonical: Combination Sum,O(2^N),O(N),Strip / timeline / pointer canvas
41,First Missing Positive,Array / Sequence,Hash Map,Direct keyed lookup,+ Sorting,Canonical: Direct lookup dictionary,O(N),O(1),Lookup-table / bucket canvas
42,Trapping Rain Water,Intervals / Geometry / Coordinates,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Coordinate-plane canvas
43,Multiply Strings,String / Text,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(M · N),O(M + N),Formula / invariant canvas
44,Wildcard Matching,Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Greedy Check,Canonical: Two Sum II / Container With Most Water,O(N + M),O(1),Coordinate-plane canvas
45,Jump Game II,Array / Sequence,BFS,Single-source breadth-first traversal,+ Greedy Check,Canonical: Shortest-path layer BFS,O(N),O(1),Strip / timeline / pointer canvas
46,Permutations,Array / Sequence,Backtracking,Choice tree with undo,None,Canonical: Permutations / combinations search,O(N · N!),O(N),Coordinate-plane canvas
47,Permutations II,Object / Process / API,Shell / Unix,Pipeline / text processing,+ Sorting,Canonical: Text-processing pipeline,O(N · N!),O(N),Strip / timeline / pointer canvas
48,Rotate Image,Matrix / Grid,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,O(N²),O(1),Grid / board canvas
