data_shape,primary_engine,variation,composite_helper,canonical_link,questions
Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,94
Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,None,Canonical: Basic filter / reshape / null-handling,52
Matrix / Grid,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,46
Array / Sequence,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,45
Array / Sequence,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,44
Relational Table / SQL,SQL / Join,Key-based row matching,None,Canonical: Combine Two Tables,36
Relational Table / SQL,SQL / Group By,Grouped aggregation,None,Canonical: Grouped aggregation / departmental summary,36
Matrix / Grid,Dynamic Programming,2D DP,None,Canonical: Edit Distance / Grid DP,35
Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,33
Relational Table / SQL,SQL / Join,Left join / null retention,None,Canonical: Combine Two Tables,33
Relational Table / SQL,SQL / Window Function,Partitioned window analytics,None,Canonical: Ranking & running-row analytics,31
Tree / Trie,Tree,Recursive subtree aggregation,None,Canonical: Binary Tree recursion,30
Graph / Network,Union-Find,Connectivity / component merging,None,Canonical: Number of Connected Components / Redundant Connection,30
Number / Bit / Math,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,30
String / Text,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,28
Array / Sequence,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,27
String / Text,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,26
Array / Sequence,Greedy,Sort-then-greedy,+ Sorting,Canonical: Merge Intervals / scheduling greedy,26
Array / Sequence,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,25
Matrix / Grid,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,25
Array / Sequence,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,24
Tree / Trie,DFS,Tree DFS,+ Tree,Canonical: Path Sum / subtree DFS,24
String / Text,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,23
Array / Sequence,Prefix / Suffix Precompute,Range-sum precompute,None,Canonical: Range Sum Query,21
Number / Bit / Math,Math / Number Theory,Digit arithmetic / carry,None,Canonical: Add Two Numbers / Reverse Integer,21
Number / Bit / Math,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,20
Tree / Trie,DFS,Tree DFS,None,Canonical: Path Sum / subtree DFS,20
Object / Process / API,Shell / Unix,Pipeline / text processing,None,Canonical: Text-processing pipeline,20
Array / Sequence,Sliding Window,Variable-size window,None,Canonical: Minimum Window / variable-size window,19
Object / Process / API,Design / Process / JS,Object / API behavior,None,Canonical: API / object-behavior design,18
Tree / Trie,Trie,Prefix-tree traversal / insertion,None,Canonical: Implement Trie (Prefix Tree),17
Array / Sequence,Heap,Priority-based selection,None,Canonical: Top K Frequent Elements / merge-k,16
String / Text,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,16
String / Text,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,16
Number / Bit / Math,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,16
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Stack,Canonical: Text-processing pipeline,16
Array / Sequence,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,15
Graph / Network,Shortest Path / Flow,Weighted shortest path,None,Canonical: Network Delay Time,15
Array / Sequence,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,15
Tree / Trie,BFS,Single-source breadth-first traversal,None,Canonical: Binary Tree Level Order Traversal,15
String / Text,Counting,Frequency counting,None,Canonical: Frequency counting,15
Graph / Network,Topological Sort,DAG ordering / prerequisite resolution,+ Sorting,Canonical: Course Schedule,14
Number / Bit / Math,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,14
Matrix / Grid,Dynamic Programming,3D DP,None,Canonical: Coin Change / state-transition DP,14
Array / Sequence,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,14
Relational Table / SQL,SQL / Window Function,RANK / ordering,None,Canonical: Ranking & running-row analytics,14
Relational Table / SQL,SQL / Window Function,ROW_NUMBER ranking,None,Canonical: Ranking & running-row analytics,13
Number / Bit / Math,Greedy,Sort-then-greedy,+ Sorting,Canonical: Merge Intervals / scheduling greedy,13
Graph / Network,Graph,General graph modeling,None,Canonical: General graph construction,13
Linked List,Linked List,Pointer manipulation on list nodes,None,Canonical: Pointer rewiring on linked list,13
Number / Bit / Math,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,13
Tree / Trie,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,13
Tree / Trie,Tree,Inorder traversal / BST order,None,Canonical: Inorder Traversal / BST validation,13
Intervals / Geometry / Coordinates,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,12
Number / Bit / Math,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,12
Array / Sequence,Binary Search,Exact / partition binary search,None,Canonical: Binary Search / median partition,12
Array / Sequence,Simulation / Scan / Precompute,Direct simulation / scan,None,Canonical: Direct simulation,12
Number / Bit / Math,Dynamic Programming,Bitmask DP,+ Bitmask,Canonical: Traveling-state / subset DP,12
Relational Table / SQL,SQL / Window Function,DENSE_RANK ranking,None,Canonical: Ranking & running-row analytics,12
Tree / Trie,Sliding Window,Variable-size window,None,Canonical: Minimum Window / variable-size window,12
Matrix / Grid,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,12
Matrix / Grid,Dynamic Programming,1D DP,None,Canonical: Climbing Stairs / House Robber,12
Number / Bit / Math,Math / Number Theory,Divisor / number theory,None,Canonical: Count Primes / GCD-LCM family,11
Array / Sequence,Monotonic Stack,Next-greater / monotonic boundary stack,None,Canonical: Daily Temperatures / Largest Rectangle,11
Array / Sequence,Binary Search,Answer-space binary search,None,Canonical: Koko Eating Bananas,11
Array / Sequence,Stack,LIFO state maintenance,None,Canonical: Valid Parentheses,11
String / Text,Simulation / Scan / Precompute,Direct simulation / scan,None,Canonical: Direct simulation,11
Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Bitmask + Tree + Segment/Fenwick,Canonical: Exact custom named technique,11
Relational Table / SQL,SQL / Join,Self-join,None,Canonical: Combine Two Tables,11
Relational Table / SQL,SQL / Window Function,Lead/Lag neighbor rows,None,Canonical: Ranking & running-row analytics,11
Number / Bit / Math,Counting,Count-driven scan,None,Canonical: Frequency counting,11
Number / Bit / Math,Binary Search,Exact / partition binary search,None,Canonical: Binary Search / median partition,11
Array / Sequence,Dynamic Programming,State-transition DP,+ Greedy Check,Canonical: Coin Change / state-transition DP,11
Matrix / Grid,BFS,Multi-source / layered BFS,None,Canonical: Rotting Oranges / 01 Matrix,11
Graph / Network,Shortest Path / Flow,Weighted shortest path,+ Heap,Canonical: Network Delay Time,10
Array / Sequence,Backtracking,Choice tree with undo,None,Canonical: Permutations / combinations search,10
Array / Sequence,BFS,Single-source breadth-first traversal,None,Canonical: Shortest-path layer BFS,10
Matrix / Grid,BFS,Single-source breadth-first traversal,None,Canonical: Rotting Oranges / 01 Matrix,10
Linked List,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,10
Array / Sequence,Dynamic Programming,1D DP,None,Canonical: Climbing Stairs / House Robber,10
Number / Bit / Math,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,10
Number / Bit / Math,Greedy,Greedy with numeric invariant,+ Math,Canonical: Gas Station / local-choice greedy,10
String / Text,Two Pointers,Boundary / pointer sweep,+ Greedy Check,Canonical: Two Sum II / Container With Most Water,9
Matrix / Grid,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,9
String / Text,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,9
