pattern,count_in_file
0-1 BFS (Deque),1
"0-1 BFS (Deque) or Dijkstra's Algorithm with a 3D State Space `(row, col, direction/momentum)`.",1
0-1 BFS / Dijkstra's Algorithm,1
0-1 BFS or Dijkstra,1
"0-1 BFS or Dijkstra's Algorithm on a modified graph where every directed edge (u -> v) with weight 0 has a ""ghost"" edge (v -> u) with weight 1.",1
0-1 Trie (Binary Trie).,1
0/1 Knapsack DP (1D) Use a boolean array `dp` where `dp[i]` is true if sum `i` is possible.,1
0/1 Knapsack Dynamic Programming,1
"0/1 Knapsack Dynamic Programming (Inverse Problem). Find subsets summing to strictly less than K, and subtract from total subsets.",1
1D Array Direct Indexing (1-based to 0-based mapping),1
1D Array Extraction & Modular Rotation,1
1D Array tracking with consecutive free-block counting and slice assignment.,1
1D DP (Character Bucket State),1
1D DP (Fibonacci) + Math Independence,1
1D DP + Bitmasking (State tracking per bit).,1
"1D DP / Two Pointers If arr[i]-arr[i-1] == arr[i-1]-arr[i-2], current slices = prev slices + 1. Add to total sum.",1
1D Dynamic Programming,3
1D Dynamic Programming (2 States),1
1D Dynamic Programming (Boolean State),1
1D Dynamic Programming (Bottom-Up),1
1D Dynamic Programming (Climbing Stairs Variant),1
1D Dynamic Programming (Fibonacci-like),1
1D Dynamic Programming (Iterative Tabulation).,1
1D Dynamic Programming (Knapsack Variation),1
1D Dynamic Programming (Knapsack),1
1D Dynamic Programming (Memoization),1
1D Dynamic Programming (Right to Left).,1
1D Dynamic Programming (Rolling Array) calculated strictly from right-to-left.,1
1D Dynamic Programming (State Machine).,1
1D Dynamic Programming (Suffix/Prefix Array),1
1D Dynamic Programming (Tabulation).,1
1D Dynamic Programming (Two States),1
1D Dynamic Programming (Unbounded Knapsack).,1
1D Dynamic Programming + GCD Check,1
1D Dynamic Programming / Greedy,1
1D Dynamic Programming / Sliding Window,1
1D Dynamic Programming with 2D Palindrome Pre-processing.,1
1D Dynamic Programming with Frequency Map optimization.,1
1D Greedy / Sorting,1
1D Index Mapping (Modulo Arithmetic),1
1D Projection (Interval Overlap).,1
1D Rolling DP (4 Stages),1
26x26 Frequency Map Simulation.,1
2D Binary Indexed Tree (Fenwick Tree),1
2D Bitset / Hash Set of Pairs,1
2D Diagonal Prefix Sums (Prefix Sum on two diagonal directions).,1
2D Difference Array (Prefix Sums).,1
2D DP (Knapsack Variant),1
2D DP (Prefix Minimum),1
2D DP (Subarray XOR Triangle + Range Max),1
2D DP + 2D Prefix Sum (Suffix Sum),1
"2D DP with Binary Search OR ""Moves to Floors"" Inverse DP.",1
2D DP: Longest Common Subsequence (LCS),1
2D Dynamic Programming,8
2D Dynamic Programming (Bottom-Up Tabulation).,1
2D Dynamic Programming (Bottom-Up),2
2D Dynamic Programming (Bottom-Up).,2
2D Dynamic Programming (dp[i][j]),1
2D Dynamic Programming (HashMap/Array).,1
2D Dynamic Programming (Interval DP),1
2D Dynamic Programming (Layered),1
2D Dynamic Programming (LCS Variant),1
2D Dynamic Programming (LCS).,1
2D Dynamic Programming (LPS on word1 + word2).,1
2D Dynamic Programming (Memoization).,1
2D Dynamic Programming (Palindrome Table).,1
2D Dynamic Programming (Path Counting),1
2D Dynamic Programming (Source Idx vs Pattern Idx),1
2D Dynamic Programming (Space Optimized),1
2D Dynamic Programming (State Switching),1
"2D Dynamic Programming (State: Index, Last Value)",1
2D Dynamic Programming (Suffix-Sum style),1
2D Dynamic Programming (Tracking mod pairs),1
2D Dynamic Programming + Hash Set.,1
2D Dynamic Programming + Prefix Sums.,1
2D Dynamic Programming / Memoization.,1
2D Dynamic Programming with Memoization + Math Pruning (Probability limit).,1
2D Dynamic Programming with Prefix Sum Optimization,1
2D Dynamic Programming with Suffix Max Optimization (State: dp[num][diff]). (O(N * M)),1
2D Dynamic Programming.,1
2D Frequency Matrix (Counting),1
2D Interval Dynamic Programming,1
2D Knapsack DP `dp[i][j]` is max strings using `i` zeros and `j` ones. Update backwards to save space.,1
2D Prefix Sum (DP) + Quickselect/Min-Heap.,1
2D Prefix Sum (In-Place),1
2D Prefix Sum (Inclusion-Exclusion Principle),1
2D Prefix Sum + 1D TreeSet Range Search,1
2D Prefix Sum + 2D Difference Array.,1
2D Prefix Sum + Binary Search (or Greedy Side Length),1
2D Prefix Sum Array,1
2D Prefix Sum Matrix,1
2D Prefix Sums (Factors of 2 and 5),1
2D Prefix Sums (Inclusion-Exclusion).,1
2D Prefix Sums (Left and Up counts),1
"2D Prefix Sums (Rows, Cols, and Diagonals).",1
"2D Prefix Sums + Binary Search for Radius, treating the ""spiral rings"" as concentric square boundaries.",1
2D Prefix Sums + Hash Map / Binning.,1
"2D Prefix Sums / Precomputation of ""Smaller"" and ""Greater"" counts.",1
2D Prefix/Suffix Max + Greedy,1
2D Sliding Window / Submatrix Hashing,1
2D-to-1D Reduction + Subarray Sum Logic.,1
3-Way Dijkstra's Algorithm,1
3D Dynamic Programming,9
3D Dynamic Programming (Grid + Modulo State),1
"3D Dynamic Programming (Index, Last Move, Score Diff)",1
3D Dynamic Programming (Knapsack Variant),2
3D Dynamic Programming (Knapsack variant).,1
3D Dynamic Programming (Knapsack with Sign State).,1
3D Dynamic Programming (Memoization).,1
3D Dynamic Programming (Simultaneous Path),1
3D Dynamic Programming (Spatial State).,1
3D Dynamic Programming (State Machine),1
"3D Dynamic Programming (State: i, j, kRemain). O(n^2 · k)",1
3D Dynamic Programming (Top-Down with Memoization).,1
3D Dynamic Programming (Top-Down),1
"3D Dynamic Programming / Grid DP (State: row, col, neutralizations_left). O(M · N · K)",1
3D Dynamic Programming / Memoization,2
3D Dynamic Programming.,1
5D Dynamic Programming + Sorting,1
8-Directional Raycasting from Move,1
`CASE` statement or `IF` function + `MOD()` + `LIKE`.,1
"Accumulating Closure Scopes (Each timeout creates a new closure, potentially keeping old variables in memory longer).",1
Adjacency List + BFS (Graph Conversion),1
Adjacency Matrix + Degree Precomputation.,1
Adjacency Set Intersection (Triangle Counting),1
Advanced Combinatorics + Inclusion-Exclusion,1
"Advanced Digit DP + Precomputed Combinatorics Modulo 10^9+7. Find valid popcounts up to Length L, then use nCr to place bits.",1
Advanced Digit DP with Modulo/State constraints,1
Aggregate Comparison (HAVING Clause),1
Aggregate Math (`MAX` - `MIN`),1
Aggregated Subquery / IFNULL,1
Aho-Corasick + Greedy Jump / Segment Tree,1
Aho-Corasick / Trie + 1D Dynamic Programming,1
Algebraic Factorization (N = kx + frac{k(k-1)}{2}).,1
"Algebraic Simplification + Binary Search / Fenwick Tree. Re-write the property as a range: arr[j] must be in [arr[i]/2, 2*arr[i]] .",1
Amortized Linear Scan / Precomputation,1
Angular Sweep / Fixed Circle Centers,1
Argument Object Cloning (Visualizing the memory used to copy the arguments list for every call).,1
Arithmetic Computation,1
Arithmetic Digit Extraction,1
Arithmetic Digit Summation,1
Arithmetic Progression (AP) Formula,1
Arithmetic Series Segmentation (Modulo Math),1
Arithmetic Snapping / Modulo Math,1
Array Grouping by Set Bits + Min/Max Tracking,1
Array Indexing (Direct Access),1
Array Length Property (`this.length`),1
Array Math (Grade School Multiplication),1
Array modification tracking (snapshotting the entire array state at each simulated step).,1
Array of 26 Stacks / Deques mapping available indices. (O(N)),1
Array of Linked Lists (Chaining),1
ASCII Bit Manipulation / Offset,1
AWK Column Accumulation.,1
Backtracking (Constrained DFS),1
Backtracking (Counter Only),1
Backtracking (DFS + In-Place Mark),1
Backtracking (DFS + Lexicographic),1
Backtracking (DFS for DAG),1
Backtracking (DFS),2
Backtracking (DFS) / Pick & Skip State Tracking,1
Backtracking (DFS) with Time Pruning,1
Backtracking (Half-String Construction),1
Backtracking (In-Place Swap),1
Backtracking (Include/Exclude),1
Backtracking (Keep or Abbreviate),1
Backtracking (Row-by-Row + Bitsets),1
Backtracking (Warnsdorff’s Rule optional),1
Backtracking + Frequency Array.,1
